Threshold,Precision,Recall,F1 Score
0.3,0.5311909262759924,0.7513368983957219,0.6223698781838317
0.35,0.5567226890756303,0.7085561497326203,0.6235294117647059
0.4,0.5856079404466501,0.6310160427807486,0.6074646074646075
0.45,0.6282420749279539,0.5828877005347594,0.6047156726768377
0.5,0.6655290102389079,0.5213903743315508,0.5847076461769115
0.55,0.6970954356846473,0.44919786096256686,0.5463414634146342
0.6,0.7263157894736842,0.3689839572192513,0.48936170212765956
