Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Baseline,0.7345635202271115,0.0,0.0,0.0,0.5
Logistic Regression,0.7338537970191625,0.4991596638655462,0.7941176470588235,0.6130030959752322,0.8417758144100853
Random Forest,0.7650816181689141,0.5501165501165501,0.6310160427807486,0.5877957658779577,0.8215337518406571
Gradient Boosting,0.8034066713981547,0.6655290102389079,0.5213903743315508,0.5847076461769115,0.8423816166782918
